ID Usuario,Edad,Genero,Fecha,Localidad,Plataforma,Dispositivo,Sistema Operativo,Conexion Exitosa
2080154,59,M,26/10/2024,"San Juan, San Juan",HBO Max,"Smart TV 65"" OLED 4K S90C",Tizen 2.2.1,0
2080154,59,M,16/11/2023,"San Juan, San Juan",Amazon Prime,"Smart TV 55"" UHD 4K",Tizen 2.3.2,0
2080154,49,M,28/01/2024,"San Juan, San Juan",Amazon Prime,"Smart TV 55"" UHD 4K",Tizen 2.3.2,0
2080154,49,M,27/05/2024,"San Juan, San Juan",Amazon Prime,"Smart TV 65"" OLED 4K S90C",Tizen 2.3.2,1
2080154,49,M,20/10/2024,"San Juan, San Juan",Paramount+,"Smart TV 65"" OLED 4K S90C",Tizen 2.2.1,0
2080154,59,M,19/07/2024,"San Juan, San Juan",Amazon Prime,"Smart TV 55"" HD LED",Tizen 2.2.1,1
2080154,28,F,25/07/2024,"San Juan, San Juan",Netflix,"Smart TV 55"" UHD 4K",Tizen 4.0,1
2080154,35,M,09/01/2024,"San Juan, San Juan",HBO Max,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.2.1,0
2080154,49,M,11/08/2024,"San Juan, San Juan",Paramount+,"Smart TV 65"" OLED 4K S90C",Tizen 2.3.2,1
2080154,28,F,07/07/2024,"San Juan, San Juan",Amazon Prime,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.2.1,1
2080154,28,F,19/07/2024,"San Juan, San Juan",Amazon Prime,"Smart TV 55"" UHD 4K",Tizen 4.0,1
2080154,28,F,18/06/2024,"San Juan, San Juan",HBO Max,"Smart TV 55"" UHD 4K",Tizen 4.0,0
2080154,49,M,06/10/2024,"San Juan, San Juan",Paramount+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.2.1,1
2080154,35,M,10/11/2023,"San Juan, San Juan",Paramount+,"Smart TV 55"" HD LED",Tizen 2.3.2,1
2080154,28,F,05/06/2024,"San Juan, San Juan",HBO Max,"Smart TV 65"" OLED 4K S90C",Tizen 3.0,0
2080154,28,F,06/11/2024,"San Juan, San Juan",Paramount+,"Smart TV 55"" HD LED",Tizen 2.3.2,0
2080154,49,M,02/08/2024,"San Juan, San Juan",Disney+,"Smart TV 65"" OLED 4K S90C",Tizen 2.3.2,1
2080154,28,F,19/02/2024,"San Juan, San Juan",Disney+,"Smart TV 55"" UHD 4K",Tizen 3.0,0
2080154,35,M,10/06/2024,"San Juan, San Juan",Amazon Prime,"Smart TV 65"" OLED 4K S90C",Tizen 2.3.2,0
2080154,28,F,24/05/2024,"San Juan, San Juan",Paramount+,"Smart TV 55"" UHD 4K",Tizen 2.3.2,1
2080154,28,F,10/04/2024,"San Juan, San Juan",Disney+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.2.1,0
2080154,49,M,16/02/2024,"San Juan, San Juan",HBO Max,"Smart TV 55"" HD LED",Tizen 3.0,0
2080154,59,M,19/06/2024,"San Juan, San Juan",Disney+,"Smart TV 55"" UHD 4K",Tizen 2.2.1,1
2080154,35,M,13/08/2024,"San Juan, San Juan",HBO Max,"Smart TV 55"" HD LED",Tizen 3.0,1
2080154,49,M,01/07/2024,"San Juan, San Juan",Disney+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 4.0,0
2080154,49,M,20/05/2024,"San Juan, San Juan",Paramount+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.2.1,1
2080154,35,M,06/06/2024,"San Juan, San Juan",Netflix,"Smart TV 55"" UHD 4K",Tizen 2.3.2,1
2080154,59,M,30/04/2024,"San Juan, San Juan",Netflix,"Smart TV 55"" HD LED",Tizen 4.0,1
2080154,59,M,06/07/2024,"San Juan, San Juan",Disney+,"Smart TV 55"" HD LED",Tizen 2.3.2,1
2080154,59,M,09/12/2023,"San Juan, San Juan",Disney+,"Smart TV 55"" UHD 4K",Tizen 2.3.2,0
2080154,35,M,01/07/2024,"San Juan, San Juan",HBO Max,"Smart TV 65"" OLED 4K S90C",Tizen 3.0,0
